,Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)","Age-standardised rate
2001 Australian Standard Population (per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)","Age-standardised rate
 (WHO) (per 100,000)","Age-standardised rate
 (Segi) (per 100,000)",ICD10 codes
0,Actual,Melanoma of the skin,1982,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
1,Actual,Melanoma of the skin,1982,Males,05_09,0.0,0.0,. .,. .,. .,. .,C43
2,Actual,Melanoma of the skin,1982,Males,10_14,6.0,0.9,. .,. .,. .,. .,C43
3,Actual,Melanoma of the skin,1982,Males,15_19,30.0,4.6,. .,. .,. .,. .,C43
4,Actual,Melanoma of the skin,1982,Males,20_24,52.0,7.7,. .,. .,. .,. .,C43
5,Actual,Melanoma of the skin,1982,Males,25_29,83.0,13.1,. .,. .,. .,. .,C43
6,Actual,Melanoma of the skin,1982,Males,30_34,125.0,20.1,. .,. .,. .,. .,C43
7,Actual,Melanoma of the skin,1982,Males,35_39,115.0,21.0,. .,. .,. .,. .,C43
8,Actual,Melanoma of the skin,1982,Males,40_44,134.0,30.2,. .,. .,. .,. .,C43
9,Actual,Melanoma of the skin,1982,Males,45_49,130.0,33.9,. .,. .,. .,. .,C43
10,Actual,Melanoma of the skin,1982,Males,50_54,179.0,45.6,. .,. .,. .,. .,C43
11,Actual,Melanoma of the skin,1982,Males,55_59,195.0,52.1,. .,. .,. .,. .,C43
12,Actual,Melanoma of the skin,1982,Males,60_64,200.0,65.7,. .,. .,. .,. .,C43
13,Actual,Melanoma of the skin,1982,Males,65_69,186.0,73.7,. .,. .,. .,. .,C43
14,Actual,Melanoma of the skin,1982,Males,70_74,145.0,79.0,. .,. .,. .,. .,C43
15,Actual,Melanoma of the skin,1982,Males,75_79,82.0,74.0,. .,. .,. .,. .,C43
16,Actual,Melanoma of the skin,1982,Males,80_84,54.0,98.4,. .,. .,. .,. .,C43
