,Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2001 Australian Standard Population 
(per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)",Unnamed: 8,ICD-10 codes
0,Incidence,Melanoma of the skin,1982.0,Males,New South Wales,650,28.9,33.1, ,C43
1,Incidence,Melanoma of the skin,1982.0,Males,Victoria,279,16.8,19.2, ,C43
2,Incidence,Melanoma of the skin,1982.0,Males,Queensland,472,49.3,56.9, ,C43
3,Incidence,Melanoma of the skin,1982.0,Males,Western Australia,164,31.1,35.6, ,C43
4,Incidence,Melanoma of the skin,1982.0,Males,South Australia,121,21.4,23.1, ,C43
5,Incidence,Melanoma of the skin,1982.0,Males,Tasmania,30,17.6,19.5, ,C43
6,Incidence,Melanoma of the skin,1982.0,Males,Australian Capital Territory,. .,. .,. ., ,C43
7,Incidence,Melanoma of the skin,1982.0,Males,Northern Territory,. .,. .,. ., ,C43
8,Incidence,Melanoma of the skin,1982.0,Males,Australia,1736,27.9,31.9, ,C43
9,Incidence,Melanoma of the skin,1982.0,Females,New South Wales,651,26.2,28.1, ,C43
10,Incidence,Melanoma of the skin,1982.0,Females,Victoria,365,19.9,21.8, ,C43
11,Incidence,Melanoma of the skin,1982.0,Females,Queensland,427,40.8,43.7, ,C43
12,Incidence,Melanoma of the skin,1982.0,Females,Western Australia,173,30.6,33.5, ,C43
13,Incidence,Melanoma of the skin,1982.0,Females,South Australia,127,21.1,22.2, ,C43
14,Incidence,Melanoma of the skin,1982.0,Females,Tasmania,38,20.1,22.5, ,C43
15,Incidence,Melanoma of the skin,1982.0,Females,Australian Capital Territory,. .,. .,. ., ,C43
16,Incidence,Melanoma of the skin,1982.0,Females,Northern Territory,. .,. .,. ., ,C43
17,Incidence,Melanoma of the skin,1982.0,Females,Australia,1802,26.3,28.4, ,C43
18,Incidence,Melanoma of the skin,1982.0,Persons,New South Wales,1301,27,30, ,C43
19,Incidence,Melanoma of the skin,1982.0,Persons,Victoria,644,18.4,20.5, ,C43
20,Incidence,Melanoma of the skin,1982.0,Persons,Queensland,899,44.2,49.1, ,C43
21,Incidence,Melanoma of the skin,1982.0,Persons,Western Australia,337,30.6,34.2, ,C43
22,Incidence,Melanoma of the skin,1982.0,Persons,South Australia,248,21.2,22.7, ,C43
23,Incidence,Melanoma of the skin,1982.0,Persons,Tasmania,68,18.8,21.1, ,C43
24,Incidence,Melanoma of the skin,1982.0,Persons,Australian Capital Territory,. .,. .,. ., ,C43
25,Incidence,Melanoma of the skin,1982.0,Persons,Northern Territory,. .,. .,. ., ,C43
26,Incidence,Melanoma of the skin,1982.0,Persons,Australia,3538,26.7,29.6, ,C43
27,Incidence,Melanoma of the skin,1983.0,Males,New South Wales,693,31.1,36, ,C43
28,Incidence,Melanoma of the skin,1983.0,Males,Victoria,319,18.8,21.6, ,C43
29,Incidence,Melanoma of the skin,1983.0,Males,Queensland,456,45.2,52.8, ,C43
30,Incidence,Melanoma of the skin,1983.0,Males,Western Australia,165,31,35.7, ,C43
31,Incidence,Melanoma of the skin,1983.0,Males,South Australia,120,20.8,23.7, ,C43
32,Incidence,Melanoma of the skin,1983.0,Males,Tasmania,31,17.8,20.8, ,C43
33,Incidence,Melanoma of the skin,1983.0,Males,Australian Capital Territory,. .,. .,. ., ,C43
34,Incidence,Melanoma of the skin,1983.0,Males,Northern Territory,. .,. .,. ., ,C43
35,Incidence,Melanoma of the skin,1983.0,Males,Australia,1820,28.8,33.3, ,C43
36,Incidence,Melanoma of the skin,1983.0,Females,New South Wales,730,29.3,31.3, ,C43
37,Incidence,Melanoma of the skin,1983.0,Females,Victoria,402,21.8,24, ,C43
38,Incidence,Melanoma of the skin,1983.0,Females,Queensland,461,41.5,44.4, ,C43
39,Incidence,Melanoma of the skin,1983.0,Females,Western Australia,165,27.4,29.8, ,C43
40,Incidence,Melanoma of the skin,1983.0,Females,South Australia,148,23.3,25.4, ,C43
41,Incidence,Melanoma of the skin,1983.0,Females,Tasmania,45,23.7,25.8, ,C43
42,Incidence,Melanoma of the skin,1983.0,Females,Australian Capital Territory,. .,. .,. ., ,C43
43,Incidence,Melanoma of the skin,1983.0,Females,Northern Territory,. .,. .,. ., ,C43
44,Incidence,Melanoma of the skin,1983.0,Females,Australia,1979,28.2,30.4, ,C43
45,Incidence,Melanoma of the skin,1983.0,Persons,New South Wales,1423,29.6,32.8, ,C43
46,Incidence,Melanoma of the skin,1983.0,Persons,Victoria,721,20.3,22.8, ,C43
47,Incidence,Melanoma of the skin,1983.0,Persons,Queensland,917,42.5,47.4, ,C43
48,Incidence,Melanoma of the skin,1983.0,Persons,Western Australia,330,28.8,32.1, ,C43
49,Incidence,Melanoma of the skin,1983.0,Persons,South Australia,268,21.9,24.4, ,C43
50,Incidence,Melanoma of the skin,1983.0,Persons,Tasmania,76,20.8,23.5, ,C43
51,Incidence,Melanoma of the skin,1983.0,Persons,Australian Capital Territory,. .,. .,. ., ,C43
52,Incidence,Melanoma of the skin,1983.0,Persons,Northern Territory,. .,. .,. ., ,C43
53,Incidence,Melanoma of the skin,1983.0,Persons,Australia,3799,28.1,31.3, ,C43
54,Incidence,Melanoma of the skin,1984.0,Males,New South Wales,762,33.8,39.4, ,C43
55,Incidence,Melanoma of the skin,1984.0,Males,Victoria,331,19.1,21.9, ,C43
56,Incidence,Melanoma of the skin,1984.0,Males,Queensland,535,52.7,60.6, ,C43
57,Incidence,Melanoma of the skin,1984.0,Males,Western Australia,173,31.5,36.5, ,C43
58,Incidence,Melanoma of the skin,1984.0,Males,South Australia,124,21.4,24.2, ,C43
59,Incidence,Melanoma of the skin,1984.0,Males,Tasmania,31,18.1,20.7, ,C43
60,Incidence,Melanoma of the skin,1984.0,Males,Australian Capital Territory,. .,. .,. ., ,C43
61,Incidence,Melanoma of the skin,1984.0,Males,Northern Territory,. .,. .,. ., ,C43
62,Incidence,Melanoma of the skin,1984.0,Males,Australia,1994,31.2,36, ,C43
63,Incidence,Melanoma of the skin,1984.0,Females,New South Wales,738,29.3,31.8, ,C43
64,Incidence,Melanoma of the skin,1984.0,Females,Victoria,414,21.8,23.9, ,C43
65,Incidence,Melanoma of the skin,1984.0,Females,Queensland,504,45.4,49.6, ,C43
66,Incidence,Melanoma of the skin,1984.0,Females,Western Australia,174,28.8,31.7, ,C43
67,Incidence,Melanoma of the skin,1984.0,Females,South Australia,160,24.2,27, ,C43
68,Incidence,Melanoma of the skin,1984.0,Females,Tasmania,35,18.2,21, ,C43
69,Incidence,Melanoma of the skin,1984.0,Females,Australian Capital Territory,. .,. .,. ., ,C43
70,Incidence,Melanoma of the skin,1984.0,Females,Northern Territory,. .,. .,. ., ,C43
71,Incidence,Melanoma of the skin,1984.0,Females,Australia,2050,28.8,31.5, ,C43
72,Incidence,Melanoma of the skin,1984.0,Persons,New South Wales,1500,30.9,34.7, ,C43
