Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Age_Std_Rate_Aust,Age_Std_Rate_Segi,Age_Std_Rate_WHO
1968,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1969,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1970,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1971,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1972,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1973,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1974,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1975,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1976,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1977,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1978,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1979,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1980,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1981,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1982,Male,Incidence,Acute lymphoblastic leukaemia,7.098072,3.953419,2.024412,2.127317,0.739688,0.315863,0.803614,0.548202,0.225202,0.000000,0.000000,0.267290,2.299190,0.792016,1.634646,3.609978,1.822257,0.000000,0.000000,1.546401,2.004155,1.755955
1983,Male,Incidence,Acute lymphoblastic leukaemia,6.831421,2.904491,1.570760,0.611141,0.877089,0.779508,0.479998,0.171817,0.000000,0.254382,0.519009,0.000000,0.000000,1.191185,1.049841,4.330692,10.386193,6.892036,0.000000,1.485946,1.705871,1.532235
1984,Male,Incidence,Acute lymphoblastic leukaemia,8.073658,2.961759,1.432131,1.520090,1.164770,0.153447,0.159528,0.331802,0.420141,0.740446,0.263211,1.045702,1.788525,0.801986,2.010464,1.659200,3.272519,3.311587,0.000000,1.543213,1.975598,1.712570
1985,Male,Incidence,Acute lymphoblastic leukaemia,9.606414,2.821277,2.170258,1.949093,1.019592,0.299824,0.956253,0.800487,0.201599,0.476002,1.066664,1.038726,0.870357,2.756904,1.462409,3.166310,1.576914,0.000000,0.000000,1.809498,2.338452,2.040364
1986,Male,Incidence,Acute lymphoblastic leukaemia,6.946464,2.810484,1.933942,1.452325,1.175741,0.733399,0.629233,0.155825,0.192264,0.230850,0.530505,0.519705,1.706489,3.006931,2.388413,3.766705,0.000000,2.881263,0.000000,1.572097,1.950232,1.721757
1987,Male,Incidence,Acute lymphoblastic leukaemia,4.966707,3.096667,2.144690,2.967107,1.037880,0.143680,0.770695,0.157408,1.066993,0.447763,0.519965,1.051605,1.125505,1.075635,3.287913,2.905499,5.684483,2.758316,0.000000,1.658078,1.889208,1.743767
1988,Male,Incidence,Acute lymphoblastic leukaemia,6.672937,1.757964,2.181195,1.391994,1.188472,0.846873,0.602671,0.624049,1.174209,0.433860,0.507751,1.065811,1.938360,1.026378,2.351049,1.396853,4.065812,2.639567,0.000000,1.594104,1.901913,1.712945
1989,Male,Incidence,Acute lymphoblastic leukaemia,7.220987,3.767436,2.357419,1.661709,0.885989,0.835956,1.027485,0.924448,0.161367,0.829377,0.492696,1.616549,1.919259,0.651534,1.413754,2.670280,2.595178,5.002501,0.000000,1.810046,2.197879,1.971857
1990,Male,Incidence,Acute lymphoblastic leukaemia,7.129230,3.707589,2.996883,2.648357,0.871431,0.977886,0.429091,0.152371,0.312275,1.191710,0.237947,0.817597,0.543752,1.274742,2.294757,0.647094,1.237991,0.000000,0.000000,1.643260,2.170560,1.900355
1991,Male,Incidence,Acute lymphoblastic leukaemia,7.818464,4.138451,2.349952,1.144864,1.272761,0.711513,0.140098,0.150551,0.610558,0.949671,0.691624,0.000000,1.363219,1.561807,0.875297,1.886876,2.369303,0.000000,0.000000,1.598791,2.120574,1.834595
1992,Male,Incidence,Acute lymphoblastic leukaemia,6.682715,3.660127,1.401337,2.067596,0.828906,0.577369,0.275655,0.888691,0.612636,0.712568,0.448710,0.267528,0.275961,2.463949,1.673346,1.852481,1.132375,4.228330,0.000000,1.545050,1.938906,1.708682
1993,Male,Incidence,Acute lymphoblastic leukaemia,6.644087,3.363035,1.849737,2.569816,0.411200,0.877878,0.548033,1.315001,0.613197,0.840801,0.439536,1.306104,0.839527,1.214831,0.399763,0.613328,3.223588,5.967774,0.000000,1.661774,2.037834,1.822755
1994,Male,Incidence,Acute lymphoblastic leukaemia,6.468325,3.053775,1.679289,2.453145,0.549579,0.440880,1.500527,0.576640,0.760632,0.487794,0.844950,1.273123,1.693896,2.111442,1.520392,3.683874,1.017346,9.402738,0.000000,1.809532,2.075886,1.892148
1995,Male,Incidence,Acute lymphoblastic leukaemia,6.015327,3.634634,1.662520,2.006730,0.969882,0.435798,0.549318,0.423396,0.602892,0.631760,0.202304,0.493658,0.567982,0.000000,0.743475,2.368377,0.978158,5.301009,0.000000,1.407101,1.782962,1.574712
1996,Male,Incidence,Acute lymphoblastic leukaemia,6.035322,4.501882,2.397507,2.148755,0.993204,0.566308,0.696519,0.828996,0.742451,0.613847,0.582546,0.239351,1.136070,1.489035,1.819836,3.357376,1.898686,1.666583,0.000000,1.709150,2.097872,1.885933
1997,Male,Incidence,Acute lymphoblastic leukaemia,4.978186,3.122616,2.245728,1.690809,0.877155,0.831392,0.424130,1.089474,0.292650,1.081278,0.360292,0.693919,1.112063,0.595736,2.139106,1.058028,1.849027,7.862130,0.000000,1.519202,1.783912,1.620718
1998,Male,Incidence,Acute lymphoblastic leukaemia,6.213571,4.125850,1.793655,2.903720,1.649717,0.963183,1.144636,0.403990,1.012666,1.380893,0.849046,1.567612,1.351684,2.698020,2.790266,0.500979,4.538811,0.000000,0.000000,1.969650,2.350214,2.144382
1999,Male,Incidence,Acute lymphoblastic leukaemia,7.462993,2.921482,1.782523,2.267711,0.916541,0.689819,0.860079,0.669394,0.712087,0.607334,0.654985,1.072287,1.306745,0.904137,2.732110,1.896364,3.573151,5.526923,0.000000,1.766894,2.125812,1.902740
2000,Male,Incidence,Acute lymphoblastic leukaemia,7.807465,3.342076,1.911396,2.381115,1.847476,0.697994,0.710014,0.537592,0.698576,0.603102,0.317210,1.026536,1.506648,1.818694,1.007777,0.916628,5.075670,2.596121,0.000000,1.794269,2.253453,2.002145
2001,Male,Incidence,Acute lymphoblastic leukaemia,7.503219,4.498634,2.614774,1.900157,1.069447,0.720152,0.692088,0.814247,0.548004,0.745260,1.234320,1.374112,0.729602,1.200044,0.995022,2.214143,0.000000,1.228999,0.000000,1.792188,2.297790,2.032806
2002,Male,Incidence,Acute lymphoblastic leukaemia,5.687382,4.368160,2.299475,1.594235,0.598094,0.586434,0.541335,0.274595,0.805255,0.146826,1.396249,0.732756,2.127368,1.464549,1.658804,2.161657,2.946984,2.363396,0.000000,1.635433,1.980077,1.776211
2003,Male,Incidence,Acute lymphoblastic leukaemia,8.607228,3.808960,2.275112,2.306645,1.456134,0.295732,0.534957,0.416160,0.662029,0.866102,1.081497,0.172980,1.613405,1.140592,1.671101,1.262648,2.083941,5.737432,0.000000,1.848080,2.359929,2.064524
2004,Male,Incidence,Acute lymphoblastic leukaemia,9.516471,4.120780,2.117487,1.862840,1.421482,0.740643,0.801301,0.971506,0.526681,0.424337,1.379877,0.501834,0.665942,0.830740,1.007591,2.057469,2.628708,2.227345,0.000000,1.886260,2.454317,2.144648
2005,Male,Incidence,Acute lymphoblastic leukaemia,7.011736,4.428430,3.234981,1.558224,0.555668,0.587642,0.671111,1.096056,0.263766,0.277976,1.062332,1.461988,0.425978,1.340695,2.356593,2.022556,1.895112,1.036151,0.000000,1.750245,2.196509,1.957256
2006,Male,Incidence,Acute lymphoblastic leukaemia,6.320960,2.356750,3.519218,1.819159,1.086340,0.861808,0.681275,0.533367,0.265617,0.683441,0.895306,0.795047,1.018523,1.570537,2.663621,0.800016,1.824729,1.936746,0.000000,1.615695,2.004822,1.795901
2007,Male,Incidence,Acute lymphoblastic leukaemia,8.597437,3.234001,2.817251,2.741262,0.791947,0.692017,0.688457,0.906193,0.669493,0.802463,0.293299,0.479488,1.513054,0.000000,1.621739,0.795738,1.762498,0.901526,0.000000,1.738132,2.306151,2.009887
2008,Male,Incidence,Acute lymphoblastic leukaemia,5.913394,3.364191,2.815688,2.151240,1.532690,0.526560,0.549446,0.760702,0.402880,1.049863,0.721131,1.267238,1.785947,0.973456,1.573995,1.987763,2.272017,0.000000,0.000000,1.683740,2.073669,1.871291
2009,Male,Incidence,Acute lymphoblastic leukaemia,6.967508,3.478331,3.091603,2.262317,0.368722,0.623975,0.541779,0.125585,0.932774,0.389390,0.705102,0.938606,0.345126,1.161767,1.213438,2.375871,0.552590,3.398112,0.000000,1.605200,2.053813,1.808694
2010,Male,Incidence,Acute lymphoblastic leukaemia,5.722847,4.688731,2.919172,2.127858,1.176831,1.318930,0.881081,1.030180,0.178701,0.654690,0.367810,0.973411,1.410799,1.234939,1.875140,0.801542,1.730881,1.420488,0.000000,1.746288,2.186270,1.969938
2011,Male,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1968,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1969,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1970,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1971,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1972,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1973,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1974,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1975,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1976,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1977,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1978,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1979,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1980,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1981,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1982,Female,Incidence,Acute lymphoblastic leukaemia,6.920243,2.653747,1.508596,0.792534,0.304210,0.483521,0.329823,0.380229,0.000000,0.548223,0.534998,0.000000,0.904440,1.377804,0.000000,0.000000,3.810467,1.286488,0.000000,1.155180,1.571167,1.334896
1983,Female,Incidence,Acute lymphoblastic leukaemia,4.210031,2.035095,1.341074,0.319301,0.301043,0.635952,0.488621,0.536585,0.461455,0.000000,0.000000,0.000000,1.164293,1.029979,1.650288,1.775715,0.923344,2.491777,0.000000,0.952157,1.167616,1.034424
1984,Female,Incidence,Acute lymphoblastic leukaemia,5.373353,3.456309,1.048983,1.747271,0.751767,0.156467,0.483940,0.000000,0.221152,0.259130,0.276217,0.801231,0.560996,0.692463,1.188585,0.567472,0.885559,0.000000,0.000000,1.101348,1.495556,1.291114
1985,Female,Incidence,Acute lymphoblastic leukaemia,5.978992,1.746520,1.970617,0.784032,0.452556,0.153269,0.479842,0.165833,0.000000,0.501892,0.558594,0.802274,0.824495,1.025883,1.157416,3.261224,0.866491,2.251973,0.000000,1.155037,1.452499,1.269812
1986,Female,Incidence,Acute lymphoblastic leukaemia,6.446524,2.262404,1.407695,0.910925,0.304745,0.599961,0.473551,0.800069,0.202341,0.244444,0.555784,0.809275,0.271862,0.328840,0.378999,0.000000,0.000000,3.171616,0.000000,1.096839,1.488438,1.274439
