Year,Sex,Cancer_Type,Aust_Mortality_to_incidence_ratio,Segi_Mortality_to_incidence_ratio,WHO_Mortality_to_incidence_ratio
1968,Male,Acute lymphoblastic leukaemia,,,
1969,Male,Acute lymphoblastic leukaemia,,,
1970,Male,Acute lymphoblastic leukaemia,,,
1971,Male,Acute lymphoblastic leukaemia,,,
1972,Male,Acute lymphoblastic leukaemia,,,
1973,Male,Acute lymphoblastic leukaemia,,,
1974,Male,Acute lymphoblastic leukaemia,,,
1975,Male,Acute lymphoblastic leukaemia,,,
1976,Male,Acute lymphoblastic leukaemia,,,
1977,Male,Acute lymphoblastic leukaemia,,,
1978,Male,Acute lymphoblastic leukaemia,,,
1979,Male,Acute lymphoblastic leukaemia,,,
1980,Male,Acute lymphoblastic leukaemia,,,
1981,Male,Acute lymphoblastic leukaemia,,,
1982,Male,Acute lymphoblastic leukaemia,0.62,0.49,0.55
1983,Male,Acute lymphoblastic leukaemia,0.88,0.7,0.79
1984,Male,Acute lymphoblastic leukaemia,0.74,0.54,0.62
1985,Male,Acute lymphoblastic leukaemia,0.71,0.51,0.58
1986,Male,Acute lymphoblastic leukaemia,0.61,0.44,0.5
1987,Male,Acute lymphoblastic leukaemia,0.58,0.48,0.51
1988,Male,Acute lymphoblastic leukaemia,0.65,0.48,0.55
1989,Male,Acute lymphoblastic leukaemia,0.49,0.41,0.45
1990,Male,Acute lymphoblastic leukaemia,0.55,0.4,0.46
1991,Male,Acute lymphoblastic leukaemia,0.51,0.36,0.43
1992,Male,Acute lymphoblastic leukaemia,0.61,0.49,0.55
1993,Male,Acute lymphoblastic leukaemia,0.52,0.36,0.42
1994,Male,Acute lymphoblastic leukaemia,0.64,0.52,0.57
1995,Male,Acute lymphoblastic leukaemia,0.68,0.52,0.59
1996,Male,Acute lymphoblastic leukaemia,0.58,0.44,0.5
1997,Male,Acute lymphoblastic leukaemia,0.46,0.38,0.42
1998,Male,Acute lymphoblastic leukaemia,0.51,0.43,0.47
1999,Male,Acute lymphoblastic leukaemia,0.59,0.47,0.53
2000,Male,Acute lymphoblastic leukaemia,0.5,0.36,0.41
2001,Male,Acute lymphoblastic leukaemia,0.36,0.29,0.32
2002,Male,Acute lymphoblastic leukaemia,0.46,0.34,0.39
2003,Male,Acute lymphoblastic leukaemia,0.44,0.27,0.33
2004,Male,Acute lymphoblastic leukaemia,0.28,0.2,0.23
2005,Male,Acute lymphoblastic leukaemia,0.38,0.28,0.32
2006,Male,Acute lymphoblastic leukaemia,0.31,0.23,0.26
2007,Male,Acute lymphoblastic leukaemia,0.27,0.18,0.21
2008,Male,Acute lymphoblastic leukaemia,0.34,0.23,0.27
2009,Male,Acute lymphoblastic leukaemia,0.24,0.16,0.19
2010,Male,Acute lymphoblastic leukaemia,0.33,0.22,0.26
2011,Male,Acute lymphoblastic leukaemia,,,
1968,Female,Acute lymphoblastic leukaemia,,,
1969,Female,Acute lymphoblastic leukaemia,,,
1970,Female,Acute lymphoblastic leukaemia,,,
1971,Female,Acute lymphoblastic leukaemia,,,
1972,Female,Acute lymphoblastic leukaemia,,,
1973,Female,Acute lymphoblastic leukaemia,,,
1974,Female,Acute lymphoblastic leukaemia,,,
1975,Female,Acute lymphoblastic leukaemia,,,
1976,Female,Acute lymphoblastic leukaemia,,,
1977,Female,Acute lymphoblastic leukaemia,,,
1978,Female,Acute lymphoblastic leukaemia,,,
1979,Female,Acute lymphoblastic leukaemia,,,
1980,Female,Acute lymphoblastic leukaemia,,,
1981,Female,Acute lymphoblastic leukaemia,,,
1982,Female,Acute lymphoblastic leukaemia,0.69,0.55,0.61
1983,Female,Acute lymphoblastic leukaemia,0.51,0.39,0.43
1984,Female,Acute lymphoblastic leukaemia,0.66,0.47,0.55
1985,Female,Acute lymphoblastic leukaemia,0.56,0.45,0.5
1986,Female,Acute lymphoblastic leukaemia,0.47,0.35,0.39
1987,Female,Acute lymphoblastic leukaemia,0.56,0.4,0.47
1988,Female,Acute lymphoblastic leukaemia,0.45,0.35,0.39
1989,Female,Acute lymphoblastic leukaemia,0.71,0.54,0.62
1990,Female,Acute lymphoblastic leukaemia,0.46,0.32,0.38
1991,Female,Acute lymphoblastic leukaemia,0.49,0.36,0.41
1992,Female,Acute lymphoblastic leukaemia,0.52,0.41,0.44
1993,Female,Acute lymphoblastic leukaemia,0.69,0.51,0.58
1994,Female,Acute lymphoblastic leukaemia,0.47,0.34,0.4
1995,Female,Acute lymphoblastic leukaemia,0.54,0.36,0.42
1996,Female,Acute lymphoblastic leukaemia,0.41,0.3,0.34
