type,sex,id,cancer,year,id_label,cancer_label,cases_pred,pop,APC,cases_base,change,percent,population,risk
1,0,36,1,2020,Australia,"Lip, oral cavity",376,25499881,0,376,0,0.0,"{'cases': 376, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,1,2025,Australia,"Lip, oral cavity",423,26879753,0,376,47,12.5,"{'cases': 423, 'change': 47, 'percent': 12.5}","{'change': 0, 'percent': 0}"
1,0,36,1,2030,Australia,"Lip, oral cavity",473,28177480,0,376,97,25.7979,"{'cases': 473, 'change': 97, 'percent': 25.7979}","{'change': 0, 'percent': 0}"
1,0,36,1,2035,Australia,"Lip, oral cavity",525,29410247,0,376,149,39.6277,"{'cases': 525, 'change': 149, 'percent': 39.6277}","{'change': 0, 'percent': 0}"
1,0,36,1,2040,Australia,"Lip, oral cavity",574,30572490,0,376,198,52.6596,"{'cases': 574, 'change': 198, 'percent': 52.6596}","{'change': 0, 'percent': 0}"
1,0,36,10,2020,Australia,Anus,113,25499881,0,113,0,0.0,"{'cases': 113, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,10,2025,Australia,Anus,128,26879753,0,113,15,13.2743,"{'cases': 128, 'change': 15, 'percent': 13.2743}","{'change': 0, 'percent': 0}"
1,0,36,10,2030,Australia,Anus,144,28177480,0,113,31,27.4336,"{'cases': 144, 'change': 31, 'percent': 27.4336}","{'change': 0, 'percent': 0}"
1,0,36,10,2035,Australia,Anus,161,29410247,0,113,48,42.4779,"{'cases': 161, 'change': 48, 'percent': 42.4779}","{'change': 0, 'percent': 0}"
1,0,36,10,2040,Australia,Anus,177,30572490,0,113,64,56.6372,"{'cases': 177, 'change': 64, 'percent': 56.6372}","{'change': 0, 'percent': 0}"
1,0,36,11,2020,Australia,Liver and intrahepatic bile ducts,2142,25499881,0,2142,0,0.0,"{'cases': 2142, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,11,2025,Australia,Liver and intrahepatic bile ducts,2422,26879753,0,2142,280,13.0719,"{'cases': 2422, 'change': 280, 'percent': 13.0719}","{'change': 0, 'percent': 0}"
1,0,36,11,2030,Australia,Liver and intrahepatic bile ducts,2716,28177480,0,2142,574,26.7974,"{'cases': 2716, 'change': 574, 'percent': 26.7974}","{'change': 0, 'percent': 0}"
1,0,36,11,2035,Australia,Liver and intrahepatic bile ducts,3008,29410247,0,2142,866,40.4295,"{'cases': 3008, 'change': 866, 'percent': 40.4295}","{'change': 0, 'percent': 0}"
1,0,36,11,2040,Australia,Liver and intrahepatic bile ducts,3278,30572490,0,2142,1136,53.0345,"{'cases': 3278, 'change': 1136, 'percent': 53.0345}","{'change': 0, 'percent': 0}"
1,0,36,12,2020,Australia,Gallbladder,163,25499881,0,163,0,0.0,"{'cases': 163, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,12,2025,Australia,Gallbladder,186,26879753,0,163,23,14.1104,"{'cases': 186, 'change': 23, 'percent': 14.1104}","{'change': 0, 'percent': 0}"
1,0,36,12,2030,Australia,Gallbladder,214,28177480,0,163,51,31.2883,"{'cases': 214, 'change': 51, 'percent': 31.2883}","{'change': 0, 'percent': 0}"
1,0,36,12,2035,Australia,Gallbladder,241,29410247,0,163,78,47.8528,"{'cases': 241, 'change': 78, 'percent': 47.8528}","{'change': 0, 'percent': 0}"
1,0,36,12,2040,Australia,Gallbladder,267,30572490,0,163,104,63.8037,"{'cases': 267, 'change': 104, 'percent': 63.8037}","{'change': 0, 'percent': 0}"
1,0,36,13,2020,Australia,Pancreas,3184,25499881,0,3184,0,0.0,"{'cases': 3184, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,13,2025,Australia,Pancreas,3646,26879753,0,3184,462,14.51,"{'cases': 3646, 'change': 462, 'percent': 14.51}","{'change': 0, 'percent': 0}"
1,0,36,13,2030,Australia,Pancreas,4148,28177480,0,3184,964,30.2764,"{'cases': 4148, 'change': 964, 'percent': 30.2764}","{'change': 0, 'percent': 0}"
1,0,36,13,2035,Australia,Pancreas,4656,29410247,0,3184,1472,46.2312,"{'cases': 4656, 'change': 1472, 'percent': 46.2312}","{'change': 0, 'percent': 0}"
1,0,36,13,2040,Australia,Pancreas,5121,30572490,0,3184,1937,60.8354,"{'cases': 5121, 'change': 1937, 'percent': 60.8354}","{'change': 0, 'percent': 0}"
1,0,36,14,2020,Australia,Larynx,195,25499881,0,195,0,0.0,"{'cases': 195, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,14,2025,Australia,Larynx,224,26879753,0,195,29,14.8718,"{'cases': 224, 'change': 29, 'percent': 14.8718}","{'change': 0, 'percent': 0}"
1,0,36,14,2030,Australia,Larynx,254,28177480,0,195,59,30.2564,"{'cases': 254, 'change': 59, 'percent': 30.2564}","{'change': 0, 'percent': 0}"
1,0,36,14,2035,Australia,Larynx,283,29410247,0,195,88,45.1282,"{'cases': 283, 'change': 88, 'percent': 45.1282}","{'change': 0, 'percent': 0}"
1,0,36,14,2040,Australia,Larynx,310,30572490,0,195,115,58.9744,"{'cases': 310, 'change': 115, 'percent': 58.9744}","{'change': 0, 'percent': 0}"
1,0,36,15,2020,Australia,"Trachea, bronchus and lung",8867,25499881,0,8867,0,0.0,"{'cases': 8867, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,15,2025,Australia,"Trachea, bronchus and lung",10164,26879753,0,8867,1297,14.6273,"{'cases': 10164, 'change': 1297, 'percent': 14.6273}","{'change': 0, 'percent': 0}"
1,0,36,15,2030,Australia,"Trachea, bronchus and lung",11536,28177480,0,8867,2669,30.1004,"{'cases': 11536, 'change': 2669, 'percent': 30.1004}","{'change': 0, 'percent': 0}"
1,0,36,15,2035,Australia,"Trachea, bronchus and lung",12887,29410247,0,8867,4020,45.3366,"{'cases': 12887, 'change': 4020, 'percent': 45.3366}","{'change': 0, 'percent': 0}"
1,0,36,15,2040,Australia,"Trachea, bronchus and lung",14119,30572490,0,8867,5252,59.2309,"{'cases': 14119, 'change': 5252, 'percent': 59.2309}","{'change': 0, 'percent': 0}"
1,0,36,16,2020,Australia,Melanoma of skin,1408,25499881,0,1408,0,0.0,"{'cases': 1408, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,16,2025,Australia,Melanoma of skin,1622,26879753,0,1408,214,15.1989,"{'cases': 1622, 'change': 214, 'percent': 15.1989}","{'change': 0, 'percent': 0}"
1,0,36,16,2030,Australia,Melanoma of skin,1874,28177480,0,1408,466,33.0966,"{'cases': 1874, 'change': 466, 'percent': 33.0966}","{'change': 0, 'percent': 0}"
1,0,36,16,2035,Australia,Melanoma of skin,2141,29410247,0,1408,733,52.0597,"{'cases': 2141, 'change': 733, 'percent': 52.0597}","{'change': 0, 'percent': 0}"
1,0,36,16,2040,Australia,Melanoma of skin,2387,30572490,0,1408,979,69.5312,"{'cases': 2387, 'change': 979, 'percent': 69.5312}","{'change': 0, 'percent': 0}"
1,0,36,17,2020,Australia,Non-melanoma skin cancer,784,25499881,0,784,0,0.0,"{'cases': 784, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,17,2025,Australia,Non-melanoma skin cancer,910,26879753,0,784,126,16.0714,"{'cases': 910, 'change': 126, 'percent': 16.0714}","{'change': 0, 'percent': 0}"
1,0,36,17,2030,Australia,Non-melanoma skin cancer,1073,28177480,0,784,289,36.8622,"{'cases': 1073, 'change': 289, 'percent': 36.8622}","{'change': 0, 'percent': 0}"
1,0,36,17,2035,Australia,Non-melanoma skin cancer,1259,29410247,0,784,475,60.5867,"{'cases': 1259, 'change': 475, 'percent': 60.5867}","{'change': 0, 'percent': 0}"
1,0,36,17,2040,Australia,Non-melanoma skin cancer,1429,30572490,0,784,645,82.2704,"{'cases': 1429, 'change': 645, 'percent': 82.2704}","{'change': 0, 'percent': 0}"
1,0,36,18,2020,Australia,Mesothelioma,781,25499881,0,781,0,0.0,"{'cases': 781, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,18,2025,Australia,Mesothelioma,922,26879753,0,781,141,18.0538,"{'cases': 922, 'change': 141, 'percent': 18.0538}","{'change': 0, 'percent': 0}"
1,0,36,18,2030,Australia,Mesothelioma,1079,28177480,0,781,298,38.1562,"{'cases': 1079, 'change': 298, 'percent': 38.1562}","{'change': 0, 'percent': 0}"
1,0,36,18,2035,Australia,Mesothelioma,1236,29410247,0,781,455,58.2586,"{'cases': 1236, 'change': 455, 'percent': 58.2586}","{'change': 0, 'percent': 0}"
1,0,36,18,2040,Australia,Mesothelioma,1376,30572490,0,781,595,76.1844,"{'cases': 1376, 'change': 595, 'percent': 76.1844}","{'change': 0, 'percent': 0}"
1,0,36,19,2020,Australia,Kaposi sarcoma,3,25499881,0,3,0,0.0,"{'cases': 3, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,19,2025,Australia,Kaposi sarcoma,4,26879753,0,3,1,33.3333,"{'cases': 4, 'change': 1, 'percent': 33.3333}","{'change': 0, 'percent': 0}"
1,0,36,19,2030,Australia,Kaposi sarcoma,5,28177480,0,3,2,66.6667,"{'cases': 5, 'change': 2, 'percent': 66.6667}","{'change': 0, 'percent': 0}"
1,0,36,19,2035,Australia,Kaposi sarcoma,6,29410247,0,3,3,100.0,"{'cases': 6, 'change': 3, 'percent': 100}","{'change': 0, 'percent': 0}"
1,0,36,19,2040,Australia,Kaposi sarcoma,7,30572490,0,3,4,133.3333,"{'cases': 7, 'change': 4, 'percent': 133.3333}","{'change': 0, 'percent': 0}"
1,0,36,2,2020,Australia,Salivary glands,108,25499881,0,108,0,0.0,"{'cases': 108, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
1,0,36,2,2025,Australia,Salivary glands,124,26879753,0,108,16,14.8148,"{'cases': 124, 'change': 16, 'percent': 14.8148}","{'change': 0, 'percent': 0}"
1,0,36,2,2030,Australia,Salivary glands,145,28177480,0,108,37,34.2593,"{'cases': 145, 'change': 37, 'percent': 34.2593}","{'change': 0, 'percent': 0}"
1,0,36,2,2035,Australia,Salivary glands,168,29410247,0,108,60,55.5556,"{'cases': 168, 'change': 60, 'percent': 55.5556}","{'change': 0, 'percent': 0}"
1,0,36,2,2040,Australia,Salivary glands,189,30572490,0,108,81,75.0,"{'cases': 189, 'change': 81, 'percent': 75}","{'change': 0, 'percent': 0}"
1,0,36,20,2020,Australia,Breast,3132,12801256,0,3132,0,0.0,"{'cases': 3132, 'change': 0, 'percent': 0}","{'change': 0, 'percent': 0}"
