<<<<<<< HEAD
,precision,recall,f1-score,support
NV,0.5882352941176471,0.06756756756756757,0.12121212121212122,148.0
MEL,0.4891566265060241,0.6590909090909091,0.5615491009681881,616.0
AK,0.38338658146964855,0.27906976744186046,0.3230148048452221,430.0
BKL,1.0,0.022222222222222223,0.04347826086956522,45.0
BCC,0.7417905288627722,0.8904564315352697,0.809353196303979,2410.0
VASC,0.5777414075286416,0.40903823870220163,0.47896879240162826,863.0
SCC,0.0,0.0,0.0,120.0
DF,0.8,0.25,0.38095238095238093,48.0
accuracy,0.6512820512820513,0.6512820512820513,0.6512820512820513,0.6512820512820513
macro avg,0.5725388048105917,0.32218064207000385,0.3398160821941356,4680.0
weighted avg,0.6245601591336689,0.6512820512820513,0.6168554515340348,4680.0
=======
,precision,recall,f1-score,support
NV,0.5882352941176471,0.06756756756756757,0.12121212121212122,148.0
MEL,0.4891566265060241,0.6590909090909091,0.5615491009681881,616.0
AK,0.38338658146964855,0.27906976744186046,0.3230148048452221,430.0
BKL,1.0,0.022222222222222223,0.04347826086956522,45.0
BCC,0.7417905288627722,0.8904564315352697,0.809353196303979,2410.0
VASC,0.5777414075286416,0.40903823870220163,0.47896879240162826,863.0
SCC,0.0,0.0,0.0,120.0
DF,0.8,0.25,0.38095238095238093,48.0
accuracy,0.6512820512820513,0.6512820512820513,0.6512820512820513,0.6512820512820513
macro avg,0.5725388048105917,0.32218064207000385,0.3398160821941356,4680.0
weighted avg,0.6245601591336689,0.6512820512820513,0.6168554515340348,4680.0
>>>>>>> main
